company_id,type,rule_id,text,confidence_pct
ABB,con,CON2,Negative free cash flow raises concern about cash generation.,80
ABB,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ABB,pro,PRO10,Return on equity indicates strengthening business quality.,78
ABB,pro,PRO12,Low leverage supports long-term sustainable growth.,80
ABB,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ABB,pro,PRO3,Debt-free balance sheet provides financial flexibility.,95
ABB,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
ABB,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
ABB,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ABB,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
ADANIENSOL,con,CON1,Debt-to-equity ratio of 8.96 is elevated.,90
ADANIENSOL,con,CON10,Low return on capital efficiency.,82
ADANIENSOL,con,CON11,High debt limits financial flexibility.,78
ADANIENSOL,con,CON2,Negative free cash flow raises concern about cash generation.,80
ADANIENSOL,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
ADANIENSOL,con,CON5,Low return on equity indicates poor capital efficiency.,80
ADANIENSOL,con,CON6,Low interest coverage increases financial risk.,90
ADANIENSOL,con,CON8,Debt levels are relatively high.,82
ADANIENSOL,con,CON9,Low earnings per share indicates weak profitability.,75
ADANIENSOL,pro,PRO10,Return on equity indicates strengthening business quality.,78
ADANIENSOL,pro,PRO12,Low leverage supports long-term sustainable growth.,80
ADANIENSOL,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIENSOL,pro,PRO3,Debt-free balance sheet provides financial flexibility.,95
ADANIENSOL,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
ADANIENSOL,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
ADANIENSOL,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ADANIENT,con,CON1,Debt-to-equity ratio of 3.24 is elevated.,90
ADANIENT,con,CON10,Low return on capital efficiency.,82
ADANIENT,con,CON11,High debt limits financial flexibility.,78
ADANIENT,con,CON2,Negative free cash flow raises concern about cash generation.,80
ADANIENT,con,CON4,Operating margin is relatively weak.,75
ADANIENT,con,CON5,Low return on equity indicates poor capital efficiency.,80
ADANIENT,con,CON8,Debt levels are relatively high.,82
ADANIENT,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIENT,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ADANIGREEN,con,CON1,Debt-to-equity ratio of 3.61 is elevated.,90
ADANIGREEN,con,CON10,Low return on capital efficiency.,82
ADANIGREEN,con,CON11,High debt limits financial flexibility.,78
ADANIGREEN,con,CON2,Negative free cash flow raises concern about cash generation.,80
ADANIGREEN,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
ADANIGREEN,con,CON5,Low return on equity indicates poor capital efficiency.,80
ADANIGREEN,con,CON6,Low interest coverage increases financial risk.,90
ADANIGREEN,con,CON8,Debt levels are relatively high.,82
ADANIGREEN,con,CON9,Low earnings per share indicates weak profitability.,75
ADANIGREEN,pro,PRO10,Return on equity indicates strengthening business quality.,78
ADANIGREEN,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIGREEN,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
ADANIGREEN,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ADANIPORTS,con,CON11,High debt limits financial flexibility.,78
ADANIPORTS,con,CON2,Negative free cash flow raises concern about cash generation.,80
